;Person;Affiliation;PrimaryKey
3830;Editor; The Pioneer;3874
3831;Shri Shyam Kumar Mandal; Ward Commissioner Kahalgaon Nagar Panchayat;3875
3832;Shri Pateshweri Singh; Lecturer Maharana Pratap Poly- technic;3876
3833;Mrs. Kuldevi Yadav; Model Sr. Sec. Chandigarh;3877
3834;Editor; Indian Express Supplement;3877
3835;Editor; Times;3878
3836;shri G.P. Aahirwar; Assistant Commissioner of Entertainment Tax;3879
3837;Thanvi;Muzaffarnagar Muzaffarnagar Times;3879
3838;Mohd. Razi Ahmed Rizvi; Steno District Development Office;3883
3839;Dilip Kumar Sarawagi; Secretary Society for Human Rights and Justice;3884
3840;Editor; Dainik Jagran;3888
3841;The Secretary; Bhartiya Red Cross Society;3889
3842;Shri P. S. Pahilwan; Shri Gurudey Shikshan Prasarak Mandal;3890
3843;Chief Executive Officer; Shri Gurudey Shikshan Prasarak Mandal;3890
3844;Shri G.C. Rout; Joint General Manager Admn. Ordanance Factory;3891
3845;Shri P. Satyanarayana Raju; Executive Director District Backward Classes Service;3892
3846;Editor; Vaartha Daily;3892
3847;Ch. Dhananjaya Sub-Inspector Naidu; of Police;3894
3848;Officer; Tuticorin Trust;3895
3849;Editor; Hindu;3895
3850;Gauri Lankeshara; Bangaluru Patrike;3897
3851;Lankesh; Bangaluru Patrike;3897
3852;Shri Siddu Savadi; MLA;3898
3853;Gauri Lankesh; Patrike;3899
3854;Editor; Karavali Ale;3902
3855;Editor; Vidhatha weekly;3904
3856;Editor; Gujaratmitra;3906
3857;Editor; Hamara Thane Samachar;3907
3858;Editor; National Reporter;3908
3859;Shri Permanand T. Gedam; Controller Unauthorized Constructions;3910
3860;Editor; Maharashtra Buland Times;3910
3861;Shri Ashok Basappа Udyavar; Vice President Nationalist Congress Party;3911
3862;Editor; Maharashtra Bulund Times;3911
3863;Shri Ravinder Dwivedi; National President Anti-Corruption Committee;3912
3864;Shri Brajesh Kumar Sharma; Employee Indore State Bank of Mandsaur;3913
3865;Chief the Editor; Saptahik Mandsaur Parikarma;3913
3866;Shri Rajender Kumar Bariya; District Trade and Industry Centre;3917
3867;Shri Chandrahas Shukla; Leader Shiv Sena;3918
3868;Shri Mayurkumar Shah; Ex-Chief of Shiv Sena;3922
3869;Editor; Sanjh Samachar;3922
3870;Editor; Deccan Chronicle;3923
3871;Editor; Deccan Chronicle;3924
3872;Editor; Nav Bharat Times;3925
3873;Editor; Nav Bharat Times;3926
3874;Shri Bal Patil; General Secretary All India Jain Minority;3927
3875;Editor; Deccan Chronicle;3928
3876;Editor; Afternoon Despatch & Courier;3932
3877;Shri Nirbiit; Chandigarh Police;3933
3878;Sub Inspector; Chandigarh Police;3933
3879;Shri JS. Gangwar; Superintendent of Police;3935
3880;Shri Dilipkumar Ramanlal Shah; Advocate;3936
3881;Shr Mathews Philip;Executive Director South India Cell for Human Rights Education & Monitoring;3938
3882;Shri R.L. Kain; General Secretary Dr. B.R. Ambedkar Vichar Manch;3943
3883;Director; Hotel Shahenshah Palace;3944
3884;Shri M. Siva Kumar; Works Manager Gun Carriage Factory;3945
3885;The Editor; Gujarat Samachar;3947
3886;Shri M. Mohan Raj; IGP;3948
3887;Shri M. Mohan Raj; IGP;3949
3888;Shri M. Mohan Raj; IGP;3950
3889;Shri Manas Chaudhuri; Editor Shillong Times;3951
3890;Shri Alok Perti; IAS;3952
3891;Editor; Indian Express;3954
3892;Shri Bhim Singh Meena; Superintendent of Commercial Tax;3955
3893;Miss Pratibha Chauhan;Assistant Professor Department of Economics;3956
3894;Miss Pratibha Chauhan; Asstt. Professor Deptt. of Economics;3957
3895;Miss Pratibha Chauhan; Asstt. Professor Deptt. of Economics;3958
3896;Shri Shahbaz Ahmed; Field Director Bandhavgarh Tiger Reserve;3959
3897;Shri Shahbaz Ahmed; Field Director Bandhavgarh Tiger Reserve;3960
3898;Shri Akhilesh; State Bureau Chief;3964
3899;Shri Manilal Shah; President  Shri Akhil Bharat Achalgarh Swetambar Jain Sangh;3966
3900;Dr. Sharad Gogate; Surlata Hospital;3967
3901;Dr. A. Chakrapani; Sr. Advocate and Member All India Congress Committee;3968
3902;Shri A.C; hairman Shri Adya Katyayani Shaktipith Temple Trust;3969
3903;Batra; hairman Shri Adya Katyayani Shaktipith Temple Trust;3969
3904;Shri V.H. Dalmia; President VHP;3970
3905;Shri V.H. Dalmia; President  VHP;3971
3906;Dr. S. Bal; Associate Professor of Surgery AIIMS;3975
3907;Director; Corbett Tiger Reserve;3977
3908;Smt. Sushila Devi; Head of Government District Library;3979
3909;Smt. Sushila Devi; Head of Government District Library;3980
3910;Shri Ramdas Sharma; Editor to Navyug Prakash;3982
3911;Shri R.C. Vaish; Commissioner s & Secretary Labour Employment & Training Department;3983
3912;Shri Nayyar Husnain Khan; IPS;3986
3913;Shri Nitin G. Shah; Shimnit Utsch Pvt. Ltd.;3991
3914;Shri Vivekananda Sawant; Project Co-ordinator Lok Sabha;3992
3915;Yuvak Pratisthan; M.P. Lok Sabha;3992
3916;Shri Kirit Somaiya; M.P. Lok Sabha;3992
3917;Shri Vivekananda Sawant; Project Co-ordinator Lok Sabha;3993
3918;Yuvak Pratisthan; M.P. Lok Sabha;3993
3919;Shri Kirit Somaiya; M.P. Lok Sabha;3993
3920;Shri H.G. Ghodke; Medical Superintendent-in-Charge R.P.U. Kutir Hospital;3994
3921;Shri Debashish Basu; Director Kensource Information Services (P) Ltd;3996
3922;editor; Mid Day;3998
3923;Dr. Subhash Hira; Director ARCON;4000
3924;Li. Col. S.N. Upadhyaya; Commanding Officer 53 Maharashtra Bn NCC;4003
3925;Shri Haji Usmangani Rizvi; President Amin-e-Shariat;4006
3926;Shri Haji Usmangani Rizvi; President Amin-e-Shariat;4007
3927;Shri Haji Usmangani Rizvi; President Amin-e-Shariat Education Trust;4008
3928;Shri Haji Usmangani Rizvi; President Amin-e-Shariat;4009
3929;Shri Haji Usmangani Rizvi; President Amin-e-Shariat;4010
3930;Shri Haji Usmangani Rizvi; President Amin-e-Shariat;4011
3931;Shri H.L. Srikanthaiah; Minister for Revenue Government of Karnataka;4012
3932;Shri Basavangouda Patil; Minister of Textiles;4013
3933;Smt. Motamma; Minister for Women & Children Welfare Government of Karnataka;4014
3934;Shri K.B. Koliwad; Minister for Rural Water Supply Government of Karnataka;4015
3935;Shri B. Srikantappa; Superintendent of Police;4016
3936;Shri P.M. Pemmaiah; Assistant Commissioner of Police;4017
3937;Shri Suresh Naidu; ACP;4019
3938;Shri S.D. Siddalinga Swamy; Executive Director HMT Watch Division;4020
3939;Shri Ravindranath Tagore; IPS;4022
3940;Chairman; Ayurveda Vidyalaya Samiti;4023
3941;The Registrar; Manipal Academy of Higher Education;4024
3942;Shri K.K. Naik; Shri Satya Sai Education Association;4025
3943;Shri K.K. Naik; Shri Satya Sai Education Association;4026
3944;Shri K.K. Naik; Shri Satya Sai Education Association;4027
3945;Executive Director; Manipal Media Networks Ltd.;4029
3946;Shri T. Pitchandi; IAS;4031
3947;Shri Sebastian Joseph; Malayala Manorama;4032
3948;Chief Reporter; Malayala Manorama;4032
3949;Smt. Anasuryamma; Legislator Chikkaballapur Constituency;4033
3950;Shri Pratap Ramdas; Manager Tata Tea Ltd.;4037
3951;Shri R. Raveendran; Advocate;4038
3952;Agni Idhu; Kannada Weekly;4040
3953;Shri S.P.S. Ahlawat; Director Central Agricultural Research Institute;4041
3954;Shri Satya N. Mohanty; IAS;4042
3955;Smt. Abhilasha Bisht; IPS;4043
3956;Shri P. Balasubrahmanyam; Joint Executive Officer Tirumala Tirupathi Devasthanam;4044
3957;Shri P. Balasubrahmanyam; Joint Executive Officer Tirumala Tirupathi Devasthanam;4045
3958;Shri R. S. Chaudhary; Vice-Chancellor Kurukshetra University;4053
3959;Chief Editor; Khandelwal Mahasabha Patrika;4055
3960;Dr. D.R. Yadav; Prof. & Head Forensic Medicine Department;4056
3961;Director; Post Graduate Institute of Medical Research;4057
3962;Shri V.K. Jain; Administrative Officer Lala Ram Sarup Institute of Tuberculosis and Respiratory Diseases;4058
3963;Dr. K.N. Srivastava; Medical Superintendent Deen Dayal Upadhaya Hospital;4060
3964;Shri V.K. Chhabra; Senior General Manager (Commerce) Pasupati Acrylon Limited;4061
3965;Shri Ashok Baijal; Executive Engineer (Civil) Indore Municipal Corporation;4067
3966;Shri Ashok Baijal; Executive Engineer (Civil) Indore Municipal Corporation;4068
3967;Shri Ashok Baijal; Executive Engineer (Civil) Indore Municipal Corporation;4069
3968;Shri Ashok Baijal; Executive Engineer (Civil) Indore Municipal Corporation;4070
3969;Shri Ashok Baijal; Executive Engineer (Civil) Indore Municipal Corporation;4071
3970;Shri Ashok Baijal; Executive Engineer (Civil) Indore Municipal Corporation;4072
3971;Shri Ashok Baijal; Executive Engineer (Civil) Indore Municipal Corporation;4073
3972;Shri Ashok Baijal; Executive Engineer (Civil) Indore Municipal Corporation;4074
3973;Shri Ashok Baijal; Executive Engineer (Civil) Indore Municipal Corporation;4075
3974;Shri Ashok Baijal; Executive Engineer (Civil) Indore Municipal Corporation;4076
3975;Shri Ashok Baijal; Executive Engineer (Civil) Indore Municipal Corporation;4077
3976;Shri Ashok Baijal; Executive Engineer (Civil) Indore Municipal Corporation;4078
3977;Shri Ashok Baijal; Executive Engineer (Civil) Indore Municipal Corporation;4079
3978;Shri Ashok Baijal; Executive Engineer (Civil) Indore Municipal Corporation;4080
3979;Shri Ashok Baijal; Executive Engineer (Civil) Indore Municipal Corporation;4081
3980;Shri Ashok Baijal; Executive Engineer (Civil) Indore Municipal Corporation;4082
3981;Shri Ashok Baijal; Executive Engineer (Civil) Indore Municipal Corporation;4083
3982;Shri Ashok Baijal; Executive Engineer (Civil) Indore Municipal Corporation;4084
3983;Shri Ashok Baijal; Executive Engineer (Civil) Indore Municipal Corporation;4085
3984;Shri Ashok Baijal; Executive Engineer (Civil);4086
3985;Shri Ashok Baijal; Executive Engineer (Civil) Indore Municipal Corporation;4087
3986;Shri Ashok Baijal; Executive Engineer (Civil) Indore Municipal Corporation;4088
3987;Shri Ashok Baijal; Executive Engineer (Civil) Indore Municipal Corporation;4089
3988;Shri Ashok Baijal; Executive Engineer (Civil) Indore Municipal Corporation;4090
3989;Shri Ashok Baijal; Executive Engineer (Civil) Indore Municipal Corporation;4091
3990;Shri Ashok Baijal; Executive Engineer (Civil) Indore Municipal Corporation;4092
3991;Shri Ashok Baijal; Executive Engineer (Civil) Indore Municipal Corporation;4093
3992;Shri Subrato Trivedi; General Manager National Thermal Power Corporation Ltd.;4094
3993;Editor; Chautha Paigam;4095
3994;The Jail Superintendent; Central Jail;4098
3995;Amrit Manthan; Hindi Daily;4100
3996;Chief Law Advisor; M. P. Housing Board;4102
3997;Ms. Maya Morya; Chairperson Municipal Corporation;4103
3998;Dr. Shujaat Vali; Lara Mother Health Care Centre;4105
3999;Dr. Shujaat Vali; Lara Mother Health Care Centre;4106
4000;Shri Usman Haji Ahmed Qurayshi; General Secretary Forum for Social Justice;4107
4001;Shri Shahabuddin; President All India Muslim Majliees-E-Mushwarat;4108
4002;Shri Shahabuddin; President All India Muslim Majliees-E-Mushwarat;4109
4003;Dr. Shakeel Ahmad; Administrator IRCG-Cell for Legal Help and Guidance;4110
4004;Dr. Shakeel Ahmad; Administrator IRCG-Cell for Legal Help and Guidance;4111
4005;President; Jeevit Hindustan;4117
4006;Dr. Krishen Kak; IAS;4118
4007;Shri V.D. Mishra; Commissioner of Police;4123
4008;Shri V.D. Mishra; Commissioner of Police;4124
4009;Shri V.D. Mishra; Commissioner of Police;4125
4010;Dr. Kareem Raja; General Secretary All India Majlis Tameer-e-Millat;4126
4011;Editor; New Indian Express;4126
4012;Shri Surinder Kumar; Superintendent of Police;4127
4013;Shri Syed Anwar;and Others resident of Kortala representing Muslim Community;4129
4014;Shri Salil Bhandari; New Delhi through Ministry of Information and Broadcasting;4131
4015;Shri Neelkanth Paratkar; General Secretary The Brihanmumbai Union of Journalists;4134
4016;Shri K.S. Ubale; Vice-President Grahak Panchayat;4135
4017;Ms. Jyotsana Chatterji; Director Joint Women Programme;4137
4018;Dr. M.S. Tyagi; Principal DPS;4138
4019;Editor; Indian Express;4139
4020;Sh. Prayag Pandey; jour-nalist & member Municipal Commit-tee;4142
4021;Sh. B.K. Tiwari; Execu-tive Editor  Deshbandhu;4143
4022;Director; ICAT;4145
4023;Sh. P.R. Meena; DCP Central Zone;4146
4024;Prof. Vishwanath D. Karad; Director Maharashtra Institute of Technology;4147
4025;Editor; Maharashtra Times;4147
4026;Sh. Raj Gopal; Chair-man Gramin Yuva Abhikaram;4148
4027;Dr. V.P. Banga; Conver-nor IMA;4149
4028;Sh. J.P. Verma; Advocate;4150
4029;editor; Dainik Jagran;4150
4030;editor; Dainik Jagran;4152
4031;Dr. Vasudha Dhagam-war; Executive Director MARG;4154
4032;Sh. R.K. Gupta; Chair-man Super Bazar;4155
4033;Sh. A.S. Bhullar; Direc-tor General Bureau of Indian Stand-ards;4156
4034;Sh. S.K. Sharma;of Rama Vision;4157
4035;Amar Ujala; hindi daily;4157
4036;Sh. B.B. Sharma; Works Manager (Admn.) Ordnance Factory;4159
4037;Sh. Pradeep Kumar Jain; Sri Panchayati Gaushala;4160
4038;Sh. Sumit Ghosh; General Secretary Mahamaya Mandir Sabha;4163
4039;Dainik Hin-dustan; Hindi daily;4164
4040;Sh. S.K.Beri; Dy. General Manager Field Gun Factory;4165
4041;Sh. S.K. Beri; Dy. General Manager Field Gun Factory;4166
4042;Sh. S.K. Beri; Dy. General Manager Field Gun Factory;4167
4043;Sh. Praveen Kapoor; General Secretary Pragatisheel Yuva Samiti;4170
4044;Secretary; Krishi Export Commercial Corporation;4171
4045;Sh. Kailash Satyarthi;Chairperson SACCS;4172
4046;Sh. D.D. Aggarwal; General Secretary Akhil Bhartiya Jana Sangh;4173
4047;Sh. Kailash Madvaiya; General Secretary All India Bun-delkhand Sahiyta;4175
4048;Dr. Ganesh Prasad; Dis-trict President Regional Medical and Rural Community Health Service Union;4176
4049;Sh. S. Ramakrishnan; Addl. Commissioner of Police;4178
4050;Sh. J.K. Shah; N.D.;4179
4051;Sh. J.K. Shah; N.D.;4180
4052;Deputy Director (Liaison); Army Welfare Housing Organisation;4182
4053;Secretary; Jat Wel-fare Association;4183
4054;Sh. A.K. Vora; President Vishwa Hindu Parishad;4184
4055;Sh. R.L. Kain; General Secretary Dr. B.R. Ambedkar Vichar Manch;4188
4056;Editor; Pioneer;4188
4057;President; Dr. Ambedkar Seva Samiti;4190
4058;President; The Bud-dhist Society of India;4191
4059;Additional Director General;and Commissioner of Police;4192
4060;Deputy Secretary;to the Govt. of Assam;4194
4061;Sh. Ashraf Agha; Advo-cate President Federation of Goa Muslim Associations and Jamats;4197
4062;Secretary; Bhatkali Jamatul Muslimeen Mangalore;4198
4063;President; Shri Jain Shwetambar Khatargachcha Shree Sangh;4199
4064;Sh. R.C. Bhargava; CMD Maruti Udyog Ltd.;4202
4065;Sh. U.S. Pandey; District Telecommunication Engineer;4207
4066;Editor; Dainik Jagran;4207
4067;Editor; Dainik Swatantra Bharat;4208
4068;Sh. R.D. Tyagi; Joint Commissioner of Police;4212
4069;Editor; Navakal Marathi daily;4212
4070;Editor; Police News;4213
4071;Editor; Talat Ki Awaz Hindi weekly;4215
4072;Sh. H.P. Gaur; Factory Manager Star Paper Mills Ltd.;4223
4073;Sh. Rajmohan Prasad; Arms Clerk Office of District Magistrate;4226
4074;Mandakini Dhara; Hindi daily;4226
4075;Sh. Shankar Lal Saini;Managing Director Saini News;4227
4076;Dr. Gajendra Nath Kalita; Superintendent Tezpur Civil Hospital;4231
4077;Dr. Gajendra Nath Kalita; Superintendent Tezpur Hospital;4232
4078;Dr. Gajendra Nath Kalita; Superintendent Tezpur Civil Hospital;4233
4079;Dr. Gajendra Nath Kalita; Superintendent Tezpur Civil Hospital;4234
4080;Dr. Gajendra Nath Kalita; Superintendent Tezpur Civil Hospital;4235
4081;Chief-Editor; Kantak Path Hindi weekly;4237
4082;Sh. Babu Singh Chauhan; Publisher Bijnor Times;4238
4083;Sh. Dilawar Singh; Chief-Editor Kantak Path;4238
4084;Sh. Dilawar Singh Chauhan; Chief-Editor Hindi weekly;4239
4085;Editor; Shrambheri;4239
4086;Sh. Bidhi Chand Singhal; Editor  Apna Rozgar;4240
4087;editor; Amar Ujala;4240
4088;Ms. Vimla Patil; Editor Femina;4242
4089;Dr. S.P. Thirumala Rao; Secretary Karnataka Consumer Forum Mysore;4243
4090;editor; Star of Mysore;4243
4091;Dr. A.R. Bedar; Director Khuda Baksh Oriental Public Library;4248
4092;Dr. A.R. Bedar; Director Khuda Baksh Oriental Public Library;4249
4093;Sh. N.C. Das; Chief Per-sonal Manager NTPC;4250
4094;The Editor; Naya Talasi;4250
4095;G.M.; Ordnance Factory;4251
4096;Sh. Nanak Singh;of Nanak Food Industries;4256
4097;Sh. Sudarshan Mahajan; Advocate & District President of BJP Sihere;4261
4098;Principal; Govt. Degree College;4263
4099;Mandakini Dhara; Hindi daily;4263
4100;Dr. Shankar Dutt Ojha; IAS;4264
4101;Sh. Subhash Sharma; IAS;4271
4102;Chief Secretary; Govt. of Pondicherry;4271
4103;Sh. D.C. Khandelwal; Asstt. Engineer R.S.E.B.;4274
4104;Sh. Debendra Kishore Tripathy; Chairman Panchayat Samiti;4276
4105;Sh. Asad Farooqui; IPS;4279
4106;Sh. Asad Farooqui; IPS;4280
4107;ΤΟΙ; English daily;4280
4108;Sh. Asad Farooqui; IPS;4281
4109;Sh. Subhash Sharma; IAS;4282
4110;Chief Secretary; Govt. of Pon-dicherry;4282
4111;Sh. D.C. Khandelwal; Asstt. Engineer R.S.E.B.;4285
4112;Sh. Asad Farooqui; IPS;4289
4113;Sh. Asad Farooqui; IPS;4290
4114;ΤΟΙ; English daily;4290
4115;Sh. Asad Farooqui; IPS;4291
4116;Sh. S.M. Khan; Informa-tion Officer CBI;4292
4117;Dr. Rajat Roy; Associate Professor & Head of Department-Surgery R.M. College;4293
4118;Ms. Anuja Gupta; AIDS;4294
4119;Sh. Jagdish Bhardwaje; AIDS;4294
4120;Sh. P.C. Paul; Under Secretary Govt. of Assam;4295
4121;Sh. A.R. Khan; Manager Estate Hotel;4296
4122;Amar Ujala; Hindi Daily;4296
4123;Deputy Director; Inter-national Centre for Yoga Education and Research;4298
4124;Sh. Dasarathi Sahoo; News Reporter Bishesha Samachar;4299
4125;Sh. Rajmohan Prasad; Arms Clerk District Magistrate's Of-fice;4301
4126;Sh. Ramkishore Mishra; Secretary to an Gangsara Nyaya Panchayat;4304
4127;M.P.;of Gangsara Nyaya Panchayat;4304
4128;Chairman; New Phaltan Sugar Works Ltd.;4305
4129;Sh K.K. Mishra; General Secretary City Congress (I);4306
4130;Dainik Lokswami; Hindi daily;4306
4131;Postmaster General; Jodhpur and Supdt. of Post Offices;4307
4132;Prof. Javed Khan;former Cabinet Minister;4312
4133;Prof. Javed Khan;former Cabinet Minister;4313
4134;Hamara Mahanagar; Hindi daily;4313
4135;Sh. P.R. Ramteke; Lecturer in English Sant Gomajiward;4315
4136;Shri P.R. Ramteke; Lecturer in English Sant Gomajiward Hinganghat;4316
4137;Sh. S. Krishna Murthy; Police Constable;4317
4138;Malenadu Sangathi; Kannada daily;4317
4139;Sh. K. Narayana; Police Constable Chikmagalur;4324
4140;Sh. K. Narayana; Police Constable Chikmagalur;4325
4141;Sh. J.K. Tripathi; passport officer Ministry of External Affairs;4327
4142;Pt. Bhojraj Dwivedi; Astrologer and Editor Agyat Darshan;4329
4143;Sh. Harish Chandra; Secretary Science and Technology;4330
4144;Sh. P.D. Kulkarni; Execu-tive Engineer M.P. Electricity Board;4331
4145;Sh. Amjad Ali; District Physical Education Teacher;4332
4146;President; IMA Branch;4333
4147;Sh. M.L. Verma; District Agriculture Officer;4334
4148;Deputy Secretary;to the Govt. of Assam;4335
4149;Sh. N.C. Sood; Comman-dant;4337
4150;Sh. Shailandra Kumar; Sr. Personnel Officer North Eastern Railway;4338
4151;Sh. Nahar Singh Yadav; Advocate and National General Secretary Samajvadi Yuva Jan Sabha;4342
4152;Ashutosh; Hindi weekly;4345
4153;The Editor; Today;4346
4154;Editor; The Tribune;4348
4155;Ms. Savita Agarwal; Advocates;4349
4156;Ms. Ritu Jain; Advocates;4349
4157;The Editor; Employment News;4349
4158;Shri P.K. Sengupta; Secretary  Justice Mukherjee Commission for Inquiry;4350
4159;M/s Bibaha Bandhani; Marriage Bureau;4351
4160;The Editor; Ananda Bazar Patrika;4351
4161;The Editor; The Hindustan Times;4352
4162;Shri Jayanta Deka;and Others Advocates;4353
4163;Shri K.N.K. Karthiayani; Department of Posts;4355
4164;Chief Post Master General; Department of Posts;4355
4165;Shri Mathews Philip; Convenor Advocacy Unit;4357
4166;editor; Dinamalar;4358
4167;editor; Dinamalar;4359
4168;Shri Rahman Azer; Editor Nayab Publications;4361
4169;Mrs. Manju Wadwalkar; Public Relations Officer Post Graduate Institute of Medical Education and Research;4364
4170;Shri Hemanta Kumar Dash; Secretary Jatiya Sabha Prathisthan;4364
4171;Shri Hemanta Kumar Dash; Secretary Jatiya Sabha Prathisthan;4365
4172;Editor; Dainik Hindustan;4366
4173;Dr. Narendra Kumar Singh Gaur; MLA and Ex Minister U.P. Government;4367
4174;Shri Sudhir Tyadi; Ex-District President Congress Committee;4368
4175;Editor; Dainik Shah Times;4368
4176;Shri B.N. Upadhyaya; General Manager (TT&A) BSNL;4369
4177;Editor; Sajag Pratinidhi;4369
4178;Editor; Shah Times;4370
4179;Shri Makhan Singh;and All Devotees of Param Deva Ashram;4371
4180;Editor; Sailaab;4371
4181;Dr. N.P. Singh; N.P. Singh Hospital;4374
4182;Editor; The Indian Express;4374
4183;Editor; Rohini Samarpan Times;4376
4184;Deputy Commissioner of Police; Detective Department;4377
4185;Editor; Asomiya Pratidin;4379
4186;Dr. Chanakaya Das; Professor Department of Obstetrics and Gynaecology;4382
4187;Editor; Aji;4382
4188;Ms. Rajni Gupta; Freelance Journalist;4383
4189;Ms. Rajni Gupta; Freelance Journalist;4384
4190;Shri Alok Kumar Roy; IPS;4385
4191;Shri Alok Kumar Roy; IPS;4386
4192;Shri Alok Kumar Roy; IPS;4387
4193;Dr. Neeraj Nagpal; Secretary Indian Medical Association;4388
4194;Shri Jagdish Sewalani; M/s Vishnu Agency;4389
4195;Shri Sudesh Kumar Gupta; President Rashtriya Bhrashtachar Unmulan Samiti;4390
4196;Smt. Saroj Gupta; President Rashtriya Bhrashtachar Unmulan Samiti;4390
4197;Shri Mahant Malkit Dass;of Shree Gaushalaji;4392
4198;Shri Mahant Malkit Dass;of Shree Gaushalaji;4393
4199;Dr. (Mrs.) Kusum Sharma; Medical Women Hospital;4395
4200;Ms. Indu Chadha; Principal Governement College;4398
4201;Prof. Prakash Singh Bisen; Director and Madhav Institute of Science and Technology;4399
4202;Yusuf Saify; Research Student Madhav Institute of Science and Technology;4399
4203;The Manager; Danish Housing Co-operative Society Ltd.;4400
4204;Dr. N.K. Rai; Joint Director Institute of Human Behaviour & Allied Sciences;4401
4205;Dr. A.C. Nagpal; Nagpal Nursing Home;4402
4206;Shri K. Raghava Reddy; G.M. Medinova Diagnostic Services Ltd.;4403
4207;Shri J.A. Kumara Swamy; Marketing Manager Medinova Diagnostic Services Ltd.;4403
4208;Dr. D.S. Dhankar; Public Relations Officer and PGIMS;4404
4209;Pandit B.D. Sharma; PGIMS;4404
4210;Dr. D.S. Dhankar; Public Relations Officer and PGIMS;4405
4211;Pandit B.D. Sharma; PGIMS;4405
4212;Shri Madhukar Jetely; Advocate Lucknow;4406
4213;Shri Mehboob Ali; M.L.A.;4409
4214;Dr. Prem Swaroop; Ex- CMO;4410
4215;Dr. Prem Swaroop; Ex- CMO;4411
4216;Shri N.K. Chaudhary; Executive Engineer Public Health Division-II;4412
4217;Shri R.S. Pawar; PRO for Commissioner of Police;4415
4218;Shri Pradeep Kumar Saravgi; Dilip Medical Store;4417
4219;Dr. N.S. Tewari; Ex- Director (Retd.) Central Research Institute;4419
4220;Mrs. Manika Pradhan; Director (Retd.) Central Research Institute;4420
4221;Shri B.R. Tripathi; Commissioner Office of the Commissioner of Customs;4421
4222;Shri B.R. Tripathi; Commissioner Office of the Commissioner of Customs;4422
4223;Shri Madhu Singh; Ex Minister of Land Reforms & Revenue Government of Jharkhand;4423
4224;Dr. A.K. Singh; M.D. M/s K.K. Hospital;4424
4225;Shri R. Raghu; Chairman Karnataka Exhibition Authority;4426
4226;Shri R. Raghu; Chairman Karnataka Exhibition Authority;4427
4227;The Secretary; Hyderabad Race Club;4428
4228;Shri N.R. Jagadesh; Chairman Sarvodaya Trust;4429
4229;Shri Prakash Tapa Shetty; Chairman Basaveshwara Co-operative Bank;4430
4230;The Managing Director; A.P. State Warehousing Corporation;4432
4231;Shri Ramoji Rao; Chief of Eenadu Group of Companies;4433
4232;The General Manager; Cannanore Spinning and Weaving Mills;4437
4233;Shri K.M. Kurian; Commercial Manager M/s Air India Ltd.;4439
4234;Shri Manoj Ranjan Singh; M/s Riga Petroleum;4441
4235;Shri Pradeep Jain; Devriya Sadar U.P.;4443
4236;Shri L.P. Sinha; Managing Director Bihar State Hydroelectric power Corporation;4444
4237;Shri Ravinder Dwivedi; National President Bhrastachar Nirmulan Samiti;4450
4238;Shri Ravinder Dwivedi; National President Bhrastachar Nirmulan Samiti;4451
4239;Shri Ravinder Dwivedi; National President Bhrastachar Nirmulan Samiti;4452
4240;Naseem Bhatia; Vice-Chancellor Jai Narain Vyas University;4453
4241;Shri Kheem Singh Bisht; General Secretary Ex Servicemen League Haldwani;4454
4242;Shri Kheem Singh Bisht; General Secretary Ex Servicemen League Haldwani;4455
4243;Shri Devendra Shastri; Chairman Degree College;4456
4244;Shri Rajendra Sharma; Manager (Marketing) M.P. State Industiral Co-op. Federation;4457
4245;Smt. Savita Dewan Sharma; Former Member Legislative Assembly;4458
4246;Shri J. Alexander; Hon'ble Minister for Tourism Government of Karnataka;4459
4247;Shri M.S. Zahed; Chairman and Managing Director M/s HMT Limited;4460
4248;Shri M.S. Zahed; Chairman and Managing Director M/s HMT Limited;4461
4249;Shri I. Venkateshwarulu IAS; Managing Director A.P. State Warehousing Corporation;4463
4250;Shri I. Venkateshwarulu IAS; Managing Director A.P. State Warehousing Corporation;4464
4251;Shri S.A. Rahim; Chairman Participatory Employment Net;4465
4252;Prof. Dr. S. Jaishankar; MD.  D.M. (CARD) Nizams Institute of Medical Sciences;4471
4253;S/Shri Rajpal Singh; Property Dealer;4472
4254;Harish Rastogi; Gold Jewellery Dealer;4472
4255;Shri B.P. Singhal; Member of Parliament;4473
4256;Ms. CTM Suguna; IAS;4474
4257;Shri S.K. Chakraborty; IPS;4479
4258;Shri Kolagani Apparao; Secretary Human Rights Council;4481
4259;Shri Roshan Alag; General Secretary Anti-Intoxication Journalists Association;4482
4260;Editor; The Hindustan Times;4482
4261;Shri Nitish Kumar Dubey;through Ministry of Information and Broadcasting;4483
4262;Editor; Delhi Times;4483
4263;Mr. S. Paul Arora; Humanist International;4484
4264;Editor; Punjab Kesari;4484
4265;Padamshri Shri Prakash Singh; Former Director General BSF;4485
4266;Editor; The Times of India;4485
4267;Padamshri Shri Prakash Singh; Former Director General BSF;4486
4268;Shri Ehtisham Mirza; General Secretary Uttar Pradesh Rashtriya Ekta Parishad;4490
4269;Editor; India Today;4490
4270;Shri Hazi Abdul Aziz; Chairman of Madrasa-Jamia-Arabia- Kasim ul ullum;4491
4271;Editor; Dainik Jagran;4491
4272;Shri Hazi Abdul Aziz; Chairman of Madrasa-Jamia-Arabia- Kasim ul ullum;4492
4273;Editor; Dainik Jagran;4492
4274;Editor; Dainik Jagran;4493
